67       "Length of the blade element vector [-]"
8        "Number of airfoils [-]"
3        "Number of blades [-]"
378.00   "Hub height [m]"
10.00    "Tower diameter [m]"
241.369  "Rotor diameter [m]"
7.94     "Hub diameter [m]"
12.00    "Nacelle length [m]"
0.50     "Nacelle drag coefficient [-]"
0.50     "Tower drag coefficient [-]"
12.0313  "OverHang [m]"
0.0      "UndSling [m]"
0.9576   "Electrical efficiency of the generator [-]"
6.00     "Delta (Turbine tilt) [deg]"
4.00     "Zeta (Blade precone) [deg]"
1        "Rotation direction [-], 1: clockwise, -1: counter-clockwise, 0: no rotational effects (GAD/GADrs; only for experimental use)"
0.77     "CT, Constant thrust coefficient for GAD/GADrs. It should be applied when rotational effects are neglected. E.g., CT=0.77 for Uinf=8.0 m s-1. Only for experimental use."
2.00     "blade_c_eps_1 [-], x or chord-wise"
2.00     "blade_c_eps_2 [-], y or thickness-wise"
2.00     "blade_c_eps_3 [-], z or radial-wise"
2.00     "nacelle_c_eps [-]"
2.00     "tower_c_eps [-]"
1500.00  "Inflow location [m]"
0.5      "Yaw rate [deg/s]"
1000.00  "Yaw error threshold [(deg)^2*(seconds)]
  4.000000   5.203182   0.000000   15.592100	"circular"        1 "r [m]" "Chord [m]" "Thickness [% of chord]" "Twist angle (gamma) [deg]" "Airfoil name [-]" "Airfoil ID [-]"
  6.034250   5.207661   0.000000   15.588647	"circular"        1
  7.241100   5.219683   0.000000   15.521702	"circular"        1
  8.447950   5.234400   0.000000   15.432070	"circular"        1
  9.654800   5.259321   0.000000   15.232105	"circular"        1
 10.861649   5.287410   0.000000   14.997883	"circular"        1
 12.068499   5.322928   0.000000   14.672542	"circular"        1
 13.275349   5.360429   0.000000   14.322891	"circular"        1
 14.482199   5.402368   0.000000   13.902478	"SNL-FFA-W3-500"  2
 15.689049   5.445309   0.000000   13.466079	"SNL-FFA-W3-500"  2
 16.895899   5.489610   0.000000   12.981126	"SNL-FFA-W3-500"  2
 18.102749   5.534166   0.000000   12.487063	"SNL-FFA-W3-500"  2
 19.309599   5.576017   0.000000   11.969979	"SNL-FFA-W3-500"  2
 20.516449   5.617459   0.000000   11.449405	"SNL-FFA-W3-500"  2
 21.723299   5.653876   0.000000   10.930578	"SNL-FFA-W3-500"  2
 22.930149   5.689700   0.000000   10.411955	"SNL-FFA-W3-500"  2
 24.136999   5.715900   0.000000    9.919754	"SNL-FFA-W3-500"  2
 26.550699   5.753279   0.000000    8.994839	"SNL-FFA-W3-500"  2
 28.964399   5.760537   0.000000    8.197150	"FFA-W3-360"      3
 31.378098   5.729257   0.000000    7.507996	"FFA-W3-360"      3
 33.791798   5.651922   0.000000    6.858717	"FFA-W3-360"      3
 36.205498   5.533684   0.000000    6.222243	"FFA-W3-360"      3
 38.619198   5.390230   0.000000    5.612624	"FFA-W3-330blend" 4
 41.032898   5.235257   0.000000    5.038242	"FFA-W3-330blend" 4
 43.446598   5.082171   0.000000    4.509830	"FFA-W3-330blend" 4
 45.860298   4.941038   0.000000    4.032818	"FFA-W3-330blend" 4
 48.273998   4.815102   0.000000    3.605998	"FFA-W3-330blend" 4
 50.687697   4.698414   0.000000    3.219382	"FFA-W3-301"      5
 53.101397   4.583420   0.000000    2.861755	"FFA-W3-301"      5
 55.515097   4.468806   0.000000    2.527920	"FFA-W3-301"      5
 57.928797   4.355516   0.000000    2.215886	"FFA-W3-301"      5
